modificationID	Assessment Area	Modification	Recommendation	Estimated Cost	Installation Cost	Subscription Cost	Specification	YES	NO	N/A	Comments
000001	Exterior	Motion-Activated Lighting	Add motion-activated lighting for safer navigation at night.	$150–$1,200 per fixture	$150–$1,200 per fixture			FALSE	FALSE	FALSE	
000002	Exterior	Pathway Lighting	Add low-voltage or solar lights along walkways to improve visibility and reduce tripping.	$200–$1,000 for full path	$200–$1,000 for full path			FALSE	FALSE	FALSE	
000003	Exterior	Non-Slip Exterior Surfaces	Apply texture or non-slip coatings to ramps, steps, and walkways.	$500–$2,000+	$500–$2,000+			FALSE	FALSE	FALSE	
000004	Exterior	Widened Walkways	Expand sidewalks or paths to allow mobility aids like walkers or wheelchairs. At least 36 inches wide, and ideally 48 inches	$3,000–$8,000+	$3,000–$8,000+			FALSE	FALSE	FALSE	
000005	Exterior	Handrails Along Paths	Install handrails for additional balance support on exterior walkways and steps.	$300–$1,500+	$300–$1,500+			FALSE	FALSE	FALSE	
000006	Exterior	Ramp Installation	Replace or supplement stairs with a wheelchair-accessible ramp.	$2,000–$10,000+	$2,000–$10,000+			FALSE	FALSE	FALSE	
000007	Exterior	Threshold Ramps	Install a threshhold ramp for a smooth transition between uneven exterior door thresholds and landing surfaces.	$150–$500 each	$150–$500 each			FALSE	FALSE	FALSE	
000008	Exterior	Lever-Style Exterior Door Handles	Replace exterior door latches with lever-styel door handles to simplify door use.	$40–$120 per door	$40–$120 per door			FALSE	FALSE	FALSE	
000009	Exterior	Smart Video Doorbell	Install a smart video doorbell for improved security.	$150–$400 (plus install)	$150–$400 (plus install)		https://docs.google.com/spreadsheets/d/1P8ZtsRLxdj0QrfeoL_1E58jwbktqVfGnuhjd1_sjRzY/edit?usp=sharing	FALSE	FALSE	FALSE	
000010	Exterior	Keyless Entry System	Install a keyless entry system for improved security and ease of use.	$250–$600+ (initial setup)	$250–$600+ (initial setup)		https://docs.google.com/spreadsheets/d/17SmIVDW3ktz341c8TqhGoxlgQiCeDEI-qkXkf0jerIg/edit?usp=sharing	FALSE	FALSE	FALSE	
000011	Exterior	"Low-Maintenance Landscaping	"	Reduce landscaping upkeep with xeriscaping or native plantings.	$1,500–$5,000+	$1,500–$5,000+			FALSE	FALSE	FALSE	
000012	Exterior	STAIRS	Widen exterior stairs for improved safety	$400--$6000+	$400--$6000+		https://docs.google.com/spreadsheets/d/17Rhpg0kGP55Z2tPbBBPbpm9S1IFqt_vsjuNeGkogGYk/edit?usp=sharing	FALSE	FALSE	FALSE	
000013	Entry / Foyer	No-step entry	Install a non-step entry for a flush threshold. Reduce chance of tripping.	$2,500–$6,000+	$2,500–$6,000+			FALSE	FALSE	FALSE	
000014	Entry / Foyer	Low-slope threshold ramp	Add small aluminum or rubber ramp to bridge door threshold.	$150–$500	$150–$500			FALSE	FALSE	FALSE	
000015	Entry / Foyer	Widened doorway (36"+)	Enlarge entry to accommodate mobility aids.	$800–$2,500+	$800–$2,500+			FALSE	FALSE	FALSE	
000016	Entry / Foyer	Lever-style door handle	Replace door knobs with lever-style door handle for ease of use.	$40–$120 per door	$40–$120 per door			FALSE	FALSE	FALSE	
000017	Entry / Foyer	Non-slip flooring	Replace floor with non-slip flooring or coat floor with non-slip coating for better traction.	$500–$2,000+	$500–$2,000+			FALSE	FALSE	FALSE	
000018	Entry / Foyer	Adequate lighting	Improve visibility by installing brighter fixtures or bulbs.	$100–$500	$100–$500			FALSE	FALSE	FALSE	
000019	Entry / Foyer	Door lighting	Improve lighting at the doorway to illuminate door access					FALSE	FALSE	FALSE	
000020	Entry / Foyer	Motion-activated lighting	Install motion activated lighting which lights automatically when someone enters.	$150–$400 per light installed	$150–$400 per light installed			FALSE	FALSE	FALSE	
000021	Entry / Foyer	Entry seating (bench or chair)	Install a bench or stable chair for dressing/undressing shoes.	$100–$600	$100–$600			FALSE	FALSE	FALSE	
000022	Entry / Foyer	Storage within reach	Adust storage so hooks, shelves, or cubbies are at an accessible height.	$50–$400	$50–$400			FALSE	FALSE	FALSE	
000023	Entry / Foyer	Clearance for turning radius	Ensure space is wide/open enough (typically 60" diameter) for wheelchairs.	Varies: may require layout change	Varies: may require layout change			FALSE	FALSE	FALSE	
000024	Entry / Foyer	Mirror at accessible height	Install mirror at accessible height for both seated and standing users.	$75–$200	$75–$200			FALSE	FALSE	FALSE	
000025	Entry / Foyer	Stairs	Widen stairs to a minimum width of 36 inches for improved safety.					FALSE	FALSE	FALSE	
000026	Entry / Foyer	Handrails	Install handrails to both sides of the staircase					FALSE	FALSE	FALSE	
000027	Entry / Foyer	Non-Slip surfaces	Replace floor with non-slip flooring or coat floor with non-slip coating for better traction.					FALSE	FALSE	FALSE	
000028	Entry / Foyer	Grab bar	Install grab bar to assist balance when entering/exiting.	$150–$400	$150–$400					FALSE	
000029	Entry / Foyer	Widened Doorways (32–36")	Widen doorways to allow walkers or wheelchairs to pass through easily. May involve framing and trim work.	$800–$2,500 per door	$800–$2,500 per door		https://docs.google.com/spreadsheets/d/128-W-31Q1MigQyVIgZ3AthaOp8SvsLNvdNNn2fzVtkY/edit?usp=sharing	FALSE	FALSE	FALSE	
000030	Entry / Foyer	Offset Hinges ("Swing Clear" Hinges)	Install offset hinges to increase clearance by ~2" without structural changes.	$50–$150 per door installed	$50–$150 per door installed			FALSE	FALSE	FALSE	
000031	Entry / Foyer	Lever-Style Handles	Replace door knobs with lever-style door handle for ease of use.	$40–$120 per handle	$40–$120 per handle			FALSE	FALSE	FALSE	
000032	Entry / Foyer	Smooth Threshold Transitions	Replace raised thresholds with flush or beveled ones for easy access.	$100–$300 per threshold	$100–$300 per threshold			FALSE	FALSE	FALSE	
000033	Entry / Foyer	Pocket or Sliding Doors (Optional)	Install pocket door for tight spaces or avoiding door swing; more complex install.	$600–$2,000+ per door	$600–$2,000+ per door			FALSE	FALSE	FALSE	
000034	Entry / Foyer	Automatic Door Closers or Soft-Open	Install automatic door closers to reduce force needed to open/close doors. Often pneumatic or hydraulic.	$75–$300+ per door	$75–$300+ per door			FALSE	FALSE	FALSE	
000035	Entry / Foyer	High-Contrast Door Frames/Edges	Install high-contrast door markers to improve visibility for low vision with contrasting paint or trim.	$50–$150 per doorway	$50–$150 per doorway			FALSE	FALSE	FALSE	
000036	Entry / Foyer	Door Stopper at Base or Wall	Install door stopper to prevent slamming or injury from abrupt door swings.	$10–$30 each	$10–$30 each			FALSE	FALSE	FALSE	
000037	Bathroom	Zero-threshold shower	Install zero-threshholalk-in shower with no step; improves wheelchair/walker access and reduces fall risk.	$3,000–$8,000+	$3,000–$8,000+		https://docs.google.com/spreadsheets/d/1XpAKpXZEHE5u7S-enXPRfXEmZ7zLbNmQwKbsgJxDscI/edit?usp=sharing	FALSE	FALSE	FALSE	
000038	Bathroom	Accessible walk-in bathtub	Install tub with door entry and built-in seat; supports safe, seated bathing.	$3,000–$10,000+ (installed)	$3,000–$10,000+ (installed)			FALSE	FALSE	FALSE	
000039	Bathroom	Shower grab bars	Install wall-mounted grab bars for support while using the shower.					FALSE	FALSE	FALSE	
000040	Bathroom	Wall-mounted shower bench	Install fold-down or fixed bench for seated bathing.	$250–$800	$250–$800			FALSE	FALSE	FALSE	
000041	Bathroom	Detachable hand-held showerhead	Install hand-held shower head to allow bathing while seated; adjustable height.	$75–$300	$75–$300			FALSE	FALSE	FALSE	
000042	Bathroom	Lever-style or ADA shower controls	Install lever style shower controls for easier grip than knobs; placed at accessible height.	$100–$400	$100–$400			FALSE	FALSE	FALSE	
000043	Bathroom	Non-slip flooring	Install a textured tile, slip-resistant vinyl, or anti-slip coatings to prevent falls.	$500–$2,000+	$500–$2,000+			FALSE	FALSE	FALSE	
000044	Bathroom	Raised toilet / comfort-height	Install a raised toilet seat that is between 17–19″ in height to reduce effort to sit and stand.	$250–$600	$250–$600			FALSE	FALSE	FALSE	
000045	Bathroom	Toilet grab bars	Install wall-mounted or floor-mounted grab bars for support while using the toilet.	$150–$400 each	$150–$400 each			FALSE	FALSE	FALSE	
000046	Bathroom	Bidet attachment / smart seat	Install bidet to improve hygiene and reduce strain; often hands-free.	$300–$1,200+	$300–$1,200+			FALSE	FALSE	FALSE	
000047	Bathroom	Wall reinforcement for grab bars	Add blocking behind walls for secure future grab bar installation.	$250–$600 (if remodeling)	$250–$600 (if remodeling)			FALSE	FALSE	FALSE	
000048	Bathroom	Accessible sink with knee space	Build an open-base vanity or wall-mounted vanity for seated use.	$600–$2,500+	$600–$2,500+			FALSE	FALSE	FALSE	
000049	Bathroom	Tilted or dual-height mirror	Install a tilted or dual-height mirror viewable from both standing and seated positions.	$100–$300	$100–$300			FALSE	FALSE	FALSE	
000050	Bathroom	Improved lighting	Install dimmable, glare-free, or motion-activated lighting.	$150–$600+	$150–$600+			FALSE	FALSE	FALSE	
000051	Bathroom	Accessable storage	Lower shelving for better access					FALSE	FALSE	FALSE	
000052	Bathroom	Emergency alert button / pull cord	Install a wall-mounted system to call for help if needed.	$150–$500+	$150–$500+			FALSE	FALSE	FALSE	
000053	Bathroom	Widened Doorways (32–36")	Widen doorways to allow walkers or wheelchairs to pass through easily. May involve framing and trim work.	$800–$2,500 per door	$800–$2,500 per door		https://docs.google.com/spreadsheets/d/128-W-31Q1MigQyVIgZ3AthaOp8SvsLNvdNNn2fzVtkY/edit?usp=sharing	FALSE	FALSE	FALSE	
000054	Bathroom	Offset Hinges ("Swing Clear" Hinges)	Install offset hinges to increase clearance by ~2" without structural changes.	$50–$150 per door installed	$50–$150 per door installed			FALSE	FALSE	FALSE	
000055	Bathroom	Lever-Style Handles	Replace door knobs with lever-style door handle for ease of use.	$40–$120 per handle	$40–$120 per handle			FALSE	FALSE	FALSE	
000056	Bathroom	Smooth Threshold Transitions	Replace raised thresholds with flush or beveled ones for easy access.	$100–$300 per threshold	$100–$300 per threshold			FALSE	FALSE	FALSE	
000057	Bathroom	Pocket or Sliding Doors (Optional)	Install pocket door for tight spaces or avoiding door swing; more complex install.	$600–$2,000+ per door	$600–$2,000+ per door			FALSE	FALSE	FALSE	
000058	Bathroom	Automatic Door Closers or Soft-Open	Install automatic door closers to reduce force needed to open/close doors. Often pneumatic or hydraulic.	$75–$300+ per door	$75–$300+ per door			FALSE	FALSE	FALSE	
